Age,Education Level,Years of Experience,Interview Performance,Technical Skills Rating,Hired
28,Bachelor's,3,8,9,Yes
32,Master's,7,9,8,Yes
24,High School,1,6,6,No
45,PhD,15,10,9,Yes
22,Bachelor's,,7,8,No
29,Master's,5,,7,Yes
36,Bachelor's,8,9,,Yes
31,,6,7,7,No
27,Master's,4,8,8,
40,,12,9,9,Yes
29,PhD,10,9,8,Yes
26,Bachelor's,2,7,7,No
38,Master's,9,,9,Yes
33,Bachelor's,6,8,7,Yes
25,High School,1,5,6,No
29,Bachelor's,4,7,8,Yes
34,Master's,,8,9,Yes
41,Bachelor's,15,10,9,Yes
23,Master's,3,7,,No
31,Bachelor's,5,8,8,Yes
37,PhD,12,,9,Yes
29,Bachelor's,7,9,8,Yes
27,High School,2,6,6,No
24,,1,5,5,No
26,Master's,3,7,7,Yes
35,Bachelor's,9,,9,Yes
30,Master's,6,8,8,Yes
28,Bachelor's,4,7,7,No
43,PhD,12,9,9,Yes
26,Bachelor's,2,,6,No
32,Master's,8,9,8,Yes
39,Bachelor's,10,9,8,Yes
28,High School,3,6,7,No
22,,1,4,5,No
30,Master's,5,8,8,Yes
37,Bachelor's,9,9,9,Yes
29,Master's,6,,8,Yes
26,Bachelor's,4,7,,No
45,PhD,,9,9,Yes
31,Bachelor's,7,8,7,Yes
27,High School,2,,6,No
24,Bachelor's,3,7,7,Yes
33,Master's,6,8,8,Yes
40,,11,9,9,Yes
28,Bachelor's,4,7,7,Yes
37,PhD,10,9,,Yes
25,Master's,3,7,7,Yes
29,Bachelor's,5,8,8,Yes
